timestamp,horas,minutos,segundos,pa,pb,pc,pt,epa_c,epb_c,epc_c,ept_c,iarms,ibrms,icrms,uarms,ubrms,ucrms
2025-03-01 00:00:00,0,0,0,984.5003083772959,1032.42501341866,1091.3624377866954,3108.2877595826512,102.91868877039947,94.10207218540013,103.28012574143494,300.30088669723455,117.20854886573184,131.37436263652592,121.12240551867157,12793.617780110644,12555.597603442198,12783.621856364687
2025-03-01 00:15:00,0,15,0,1079.8219050079576,1094.757319385884,934.6162611160469,3109.1954855098884,103.9869584082444,111.2304969198376,112.8527045568319,328.0701598849139,129.05477768334111,123.68232857633384,125.75187739070927,12650.029681832535,12410.865755066265,12820.444913422742
2025-03-01 00:30:00,0,30,0,1028.535602098858,1130.2425830106638,1093.619084304803,3252.3972694143245,110.98686232921284,104.59313962103414,105.72883620504935,321.3088381552963,124.03991799936043,122.20815841977642,134.6901320153375,13024.282986600407,12672.474671255444,12690.327128121324
2025-03-01 00:45:00,0,45,0,977.8730256562678,1068.817362098351,1037.8618550565225,3084.5522428111412,104.35955123406859,82.00782337364184,104.84146592765889,291.2088405353693,129.91527367924994,126.40973631219616,129.81226891645332,12686.478551919141,12360.765382566286,12817.555363323252
2025-03-01 01:00:00,1,0,0,859.289551256294,1124.4676492866565,1043.9499779936561,3027.707178536607,90.02358344059782,108.936152694889,98.01045979609901,296.97019593158586,121.18384920410391,115.81571822779543,119.56159235443282,12786.585211261316,12551.95093415706,12566.40224433644
2025-03-01 01:15:00,1,15,0,942.1567809978558,929.2463048289809,1093.57977846887,2964.9828642957063,90.60491197270218,104.92999742642724,81.27504293772546,276.80995233685485,126.5313263278772,126.54420373289447,121.62608627117206,12729.97327651663,12506.147089021035,12922.840823071136
2025-03-01 01:30:00,1,30,0,1056.5283973047756,1052.2235439977428,985.1184409077226,3093.870382210241,100.76986475710812,84.14100365675348,88.61690625992522,273.52777467378684,126.60420000517978,121.26186818326288,124.06187908105164,12665.054152663144,12837.414930864148,12712.740102656562
2025-03-01 01:45:00,1,45,0,903.2248029744528,1043.3572313995205,763.23008067355,2709.8121150475235,94.31954363804967,71.23788442181984,121.55009561484209,287.1075236747116,127.37391244518638,125.96799534257829,128.76996185595868,12895.52423899543,12727.277953398912,13121.457823209803
2025-03-01 02:00:00,2,0,0,1323.0552501426173,957.279523784672,1093.0255511039877,3373.360325031277,74.83579117376175,93.72325573831006,105.44997519007745,274.0090221021493,120.69199623817701,115.29449179509434,121.0095598513037,12438.688367128867,12540.404955056703,12627.712951018939
2025-03-01 02:15:00,2,15,0,824.5211369650901,984.000445023691,961.2074373203922,2769.7290193091735,100.81711012121256,110.66178584913528,112.04558543690244,323.5244814072503,126.81211135819684,116.03192277751252,125.2162965702289,12965.462827725018,12729.153742604918,12906.764296591946
